week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR,reportedWeeklyICheck
11,1.70076044484639,1.63776766464012,1.76511088821879,1087191,14.00138771,2711,1.6858536355643,2711
1,NaN,NaN,NaN,0,0,1,4.06882148336131,1
2,3.07814117187109,0.305638137225504,9.84226233732786,106217,1.416925336,1,4.61959524423687,1
3,1.21508055377093,0.0279191771934447,4.85875081470645,100002,0.908196679,0,0.675508935922144,0
4,12.8455786167434,6.47044807268478,22.9106212611176,190045,1.751886638,23,9.64992714513086,23
5,0.766503537049716,0.429369845040185,1.25575355369197,120849,1.419339857,24,2.84223884103401,24
6,0.193704001294397,0.0776497599433286,0.375693327467311,124512,1.776210029,7,0.86851389098851,7
7,2.13798751087472,1.50212334726158,2.90248042646894,140345,1.907432059,74,3.12174421512954,74
8,1.47748231948955,1.16201668913927,1.83177389027104,239360,2.800269157,112,3.09691397685434,112
9,4.06576102751655,3.58077526222128,4.57665856822232,408062,5.669084735,448,4.86591635358146,448
10,6.00259876413491,5.66420779783031,6.35292460773332,762439,9.884928736,1572,5.95234972507994,1572
11,0.339407622672832,0.29535622866414,0.388954646017938,831760,10.974382961,212,0.276071534743774,212
1,NaN,NaN,NaN,0,0,1,0.49018488020444,1
2,1.80249386661917,0.0401654937296222,7.3687437165204,100001,1.37545033,0,3.38867307625417,0
3,3.04063557353316,0.307638915169019,9.66603222497383,106502,0.917289662,1,5.99105242762271,1
4,2.46262927332494,0.255245123858543,7.68898126982515,104095,1.015992789,1,4.81528437342088,1
5,0.356376435631118,0.00777551286135609,1.57612477110584,100289,1.137742767,0,1.1103695689094,0
6,2.17217133098443,0.464835750282267,6.05660465260091,119843,1.624348893,4,12.2938531885277,4
7,1.18054268381571,0.216088970318613,3.15758163956778,108719,1.842696811,2,1.88206354619194,2
8,3.70566054619277,1.89249676892687,6.3524082221959,194472,2.747896067,19,5.93274822982705,19
9,2.28508485278367,1.37950838417836,3.44839104595749,155631,2.088595708,21,3.81989456710752,21
10,1.49285911146274,0.930657703697353,2.20188802893978,142837,2.247750507,21,1.10398685957736,21
11,2.0804368691665,1.4762031873488,2.82001147663991,166483,2.675126843,39,2.29145038022497,39
1,NaN,NaN,NaN,0,0,1,2.97134451213502,1
2,3.08928077263663,0.306878864313436,9.9740834720467,106256,1.412178508,1,0.0515355286908146,1
3,3.7966636477545,0.852143166369677,9.77452351915758,109913,1.028438332,3,10.2062532948344,3
4,1.81058309176844,0.325087767966235,4.79449913550529,103076,1.029439837,2,1.50211298382234,2
5,1.92131799703128,0.824644274710567,3.86772758794926,122383,1.481071327,17,6.81191508581762,17
6,6.19615573342856,4.10438392242828,8.82197684824142,207888,2.292534355,101,8.25779927479465,101
7,4.18265919137602,3.45931728564571,4.97285417988529,174428,2.264967584,192,4.20287557604461,192
8,1.68880355383443,1.47239208961927,1.9199326389285,364377,4.530619414,300,2.44257802582792,300
9,3.18363125300571,2.92951154640049,3.44237883290996,540317,6.528054901,889,3.80665847144024,889
10,1.30188645411002,1.19580015216575,1.41140893377677,605555,8.335361826,608,1.45112838364004,608
11,3.4637895544558,3.31773922557618,3.61190671691776,819112,10.493364381,2319,3.22637468370719,2319
1,NaN,NaN,NaN,0,0,1,1.22648402644641,1
2,1.76988851730636,0.0403652120554648,7.29068261442319,100001,1.429448601,0,0.0369124816737918,0
3,1.75944348206129,0.0430171179801272,7.2376911385569,100001,0.95848172,0,4.05250589195967,0
