week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
11,2.498500626416463,1.990551239117892,3.066370317597154,306676.0,6.320339393,95.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,2.0,12.086933942793959
2,3.0210962476195617,0.6573404752261345,7.317281549510586,7567.0,0.139376766,2.0,2.540659030834623
3,3.406128536795951,1.228577510719314,6.7008232064225695,17956.0,0.224962522,5.0,1.3706555818563755
4,2.514669805549791,1.091616565105801,4.401411175319831,23501.0,0.585405766,7.0,2.6763108447494197
5,4.319232301113015,2.607401206221635,6.290174326705587,86837.0,1.338869734,23.0,4.63885514332503
6,5.363127995192889,4.173444672328481,6.786323616863279,291245.0,4.789884153,71.0,4.6480534316006565
7,2.146947249074417,1.6385066965438344,2.692591223089082,210646.0,3.584767466,69.0,1.4760376138382196
8,0.22706588967786548,0.11226189544517602,0.37639365975742983,155101.0,3.213242588,10.0,0.15737831308792136
9,1.2198896778441903,0.91902284247292,1.528386082648471,215039.0,4.15264501,54.0,1.351118002815832
10,0.8259371824963718,0.5781691819724302,1.1151462739604288,179177.0,4.230878192,34.0,0.8146880271062604
11,2.6297833101046053,2.17486746121773,3.108241492789274,357076.0,7.665751424,117.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,4.0,12.086933942793959
2,3.4976012032989257,1.198630814974622,7.063449051312247,18019.0,0.281097155,5.0,2.540659030834623
3,2.688923452286071,1.2518586732407968,4.66375575233149,27911.0,0.348418989,8.0,1.3706555818563755
4,2.028122617840236,0.9964712647187839,3.469677918930063,32989.0,0.488212056,10.0,2.6763108447494197
5,2.9284909232917173,1.9560733678964402,4.148593616473424,75427.0,1.162883521,23.0,4.63885514332503
6,4.521989516754639,3.518250891117554,5.65927366954511,244598.0,4.179806224,69.0,4.6480534316006565
7,2.045606980360196,1.563431288510803,2.5516524625933403,219198.0,4.151458498,67.0,1.4760376138382196
8,0.31323389503235655,0.17401537790133778,0.48819818652340724,162974.0,3.394122335,14.0,0.15737831308792136
